mean_pred_class0,mean_pred_class1,y,y_pred,var_pred_class0,var_pred_class1
-0.25440696,-6.929346,0,0,2.6046689,7.564045
-0.59728175,-5.150771,0,0,2.3974216,6.5742297
-0.27651432,-6.8998456,0,0,2.5663338,7.1004896
-0.6818951,-5.6870165,0,0,2.0829568,6.0341897
-0.33754542,-6.435836,0,0,2.4262748,6.542286
-0.43628386,-6.01513,0,0,2.2995818,6.345061
-0.5582612,-5.51373,0,0,2.1669505,6.132432
-0.44258,-6.308648,0,0,2.523358,6.880892
-0.257592,-7.2475953,0,0,2.5642295,7.0916095
-0.23558246,-7.2351046,0,0,2.558524,6.947201
-0.5476933,-5.2387333,0,0,2.3534195,6.415356
-0.36026362,-6.7008405,0,0,2.5517704,6.887203
-0.7067135,-5.641206,0,0,1.9763358,5.886648
-0.39953688,-6.1845627,0,0,2.5601516,7.081256
-0.93289167,-4.7059507,0,0,2.2323701,6.284439
-0.2798138,-7.145466,0,0,2.5182679,6.9343634
-0.34964123,-6.538311,0,0,2.520207,6.9982376
-0.25575003,-6.953372,0,0,2.5982137,7.5017543
-0.4400027,-6.0203238,0,0,2.272355,6.3124495
-0.5899947,-5.969451,0,0,2.3391914,6.447427
-0.33031562,-6.667735,0,0,2.5026033,6.885314
-0.6414264,-6.0940046,0,0,2.0214708,5.783043
-0.34297445,-6.405534,0,0,2.2472775,6.2298126
-0.29966727,-6.68521,0,0,2.3084998,6.3751845
-0.47463253,-5.7691307,0,0,2.490397,6.8040795
-0.32467312,-6.4522753,0,0,2.5981863,7.324686
-0.41153458,-6.479575,0,0,2.4104478,6.4909163
-0.2632009,-6.885777,0,0,2.5824182,7.3095875
-0.7604025,-5.1894884,0,0,2.0578094,5.995179
-0.564205,-5.592967,0,0,2.4213982,6.3759665
-1.4181011,-3.4039888,0,0,2.015874,5.9850793
-0.8857706,-4.4572935,0,0,1.9290469,5.829362
-0.2518423,-6.934245,0,0,2.3968256,6.598311
-0.24692741,-6.932589,0,0,2.5448427,7.4922676
-0.40732267,-5.7941236,0,0,1.7760003,5.656298
-0.3204458,-6.642806,0,0,2.5677202,7.2029996
-0.27093768,-6.954354,0,0,2.582019,7.3366165
-0.41498318,-6.2120256,0,0,2.5335164,7.057497
-0.54757243,-5.438693,0,0,2.3309927,6.4392886
-0.9294308,-4.38988,0,0,2.199793,6.229114
-0.08270577,-7.0843515,0,0,2.1403065,6.074568
-0.2922985,-6.856838,0,0,2.5669856,7.200627
-0.3024247,-6.7317877,0,0,2.342625,6.47711
-0.31012067,-6.639793,0,0,2.514818,6.989188
-0.38398865,-6.6284723,0,0,2.1149893,6.0261674
-0.2908421,-6.62541,0,0,2.570184,7.263441
-0.81335,-4.812479,0,0,2.284276,6.399013
-0.3518243,-6.443967,0,0,2.5498042,7.0475245
-0.25003043,-6.8977036,0,0,2.6055975,7.569594
-0.7833517,-4.5415907,0,0,2.092408,5.988922
-0.30585995,-6.9552097,0,0,2.5891702,6.7615557
-0.4057918,-6.394767,0,0,2.0887704,6.2773333
-0.36455432,-6.5728607,0,0,2.26178,6.580599
-0.2602164,-6.9903603,0,0,2.550766,7.119284
