mean_pred_class0,mean_pred_class1,y,y_pred,var_pred_class0,var_pred_class1,pred_prob_class0,pred_prob_class1,pred_prob_std_class0,pred_prob_std_class1
-0.26151693,-7.0154834,0,0,2.7842162,7.3448477,0.9986932,0.0013068086,0.00066848815,0.0006684869
-0.519634,-5.5785503,0,0,2.6124973,6.6762724,0.99263847,0.007361571,0.0038760456,0.003876044
-0.29060644,-6.7810335,0,0,2.7608757,7.0280805,0.9982504,0.0017496356,0.00083112577,0.00083112414
-0.89310265,-4.9418135,0,0,2.2933917,6.0994525,0.9750966,0.0249033,0.024030311,0.02403031
-0.26698565,-6.87006,0,0,2.6167107,6.5794735,0.99817246,0.0018275693,0.0016870763,0.0016870742
-0.4749303,-6.0403686,0,0,2.4946065,6.435191,0.99535406,0.0046459674,0.0033226605,0.0033226626
-0.7381048,-4.5182214,0,0,2.2613735,6.0837264,0.97486836,0.025131699,0.01755969,0.01755969
-0.3816374,-6.443838,0,0,2.7162466,6.905143,0.9972237,0.002776272,0.001984091,0.0019840917
-0.21755661,-7.4044294,0,0,2.744227,7.0016894,0.9990624,0.000937645,0.000659745,0.000659745
-0.24566634,-7.203554,0,0,2.7548695,6.932966,0.9988878,0.0011121786,0.0007642336,0.0007642359
-0.5609681,-5.3687973,0,0,2.5880494,6.659274,0.9913418,0.0086581735,0.004410001,0.004409998
-0.36339378,-6.539104,0,0,2.70962,6.7472277,0.99716556,0.0028343569,0.0022850016,0.0022850025
-0.9322474,-5.0967164,0,0,2.1627645,5.9817176,0.98183113,0.01816898,0.0111089805,0.0111089805
-0.4453267,-6.0667286,0,0,2.7511134,7.0023413,0.99569803,0.004301927,0.0025478187,0.0025478199
-0.95210457,-4.522341,0,0,2.4211047,6.362704,0.9677201,0.032279976,0.023528293,0.023528293
-0.37967765,-6.5240164,0,0,2.7235174,6.905785,0.9974364,0.0025636323,0.0015881265,0.0015881275
-0.31321055,-6.7444353,0,0,2.74378,6.9358435,0.99814004,0.001859943,0.0011299704,0.00112997
-0.26076993,-7.0234785,0,0,2.79371,7.321287,0.998818,0.001182015,0.00032117718,0.00032117526
-0.4181794,-5.932495,0,0,2.5470858,6.5138884,0.99508643,0.004913591,0.003942896,0.0039428947
-0.8831761,-5.188838,0,0,2.4345663,6.361078,0.9837299,0.016270066,0.010661326,0.010661328
-0.36681318,-6.2846966,0,0,2.713893,6.9286375,0.99667025,0.003329807,0.0023183057,0.0023183085
-0.6868987,-5.5326643,0,0,2.2765977,5.878461,0.98756737,0.012432563,0.014193809,0.014193811
-0.28306305,-6.8349056,0,0,2.359178,6.1712236,0.99732196,0.0026780753,0.0036667516,0.0036667527
-0.32099193,-6.549408,0,0,2.4397407,6.3759317,0.9964633,0.003536689,0.0044752364,0.004475235
-0.46115923,-5.9227414,0,0,2.698425,6.8942194,0.9946728,0.005327273,0.004056424,0.004056422
-0.34958327,-6.5007067,0,0,2.787347,7.2155247,0.99761695,0.002383086,0.0011964719,0.001196471
-0.37414736,-6.4643517,0,0,2.656577,6.7321863,0.9969046,0.0030953898,0.0032655157,0.003265515
-0.28333902,-6.852685,0,0,2.7901056,7.223267,0.99851793,0.0014820726,0.00075679447,0.0007567948
-0.83061326,-4.9159603,0,0,2.2096174,6.0532556,0.97960603,0.020393971,0.013477362,0.01347736
-0.49013764,-5.8062015,0,0,2.648456,6.5571423,0.9927777,0.0072222454,0.0066994373,0.0066994373
-1.3783606,-3.4994488,0,0,2.2016659,6.0465827,0.87389433,0.12610564,0.06310947,0.06310947
-0.94916296,-4.178112,0,0,2.152704,5.982978,0.95381665,0.046183366,0.03063119,0.030631192
-0.39755505,-6.322236,0,0,2.5225697,6.5347414,0.9957398,0.004260214,0.0057295514,0.005729552
-0.2551339,-7.0285563,0,0,2.8019137,7.3526535,0.9988537,0.0011462987,0.00010009317,0.00010009446
-0.18186973,-6.1969867,0,0,1.9422288,5.7518315,0.9966665,0.0033334983,0.0027205811,0.0027205776
-0.30855757,-6.801152,0,0,2.7877066,7.184107,0.99822384,0.0017762224,0.0009875958,0.0009875959
-0.27362984,-7.021261,0,0,2.7913265,7.232363,0.99877155,0.0012285683,0.0005062851,0.0005062869
-0.3989144,-6.3791914,0,0,2.7628956,7.0856476,0.99736893,0.0026311642,0.00117685,0.0011768512
-0.6791071,-5.317651,0,0,2.5626864,6.536221,0.9889179,0.01108212,0.006487826,0.006487824
-1.1892842,-3.7732573,0,0,2.4229813,6.3354006,0.91722995,0.08277005,0.046575345,0.046575345
-0.039032802,-7.196189,0,0,2.339361,6.1804986,0.99905014,0.0009498006,0.0005688531,0.0005688508
-0.29842937,-6.8196,0,0,2.76428,7.122372,0.99821925,0.0017807941,0.0011569138,0.0011569129
-0.41733706,-6.2808805,0,0,2.4887016,6.5015135,0.9956312,0.0043687723,0.0054720063,0.0054720067
-0.30749702,-6.7741084,0,0,2.755572,7.07194,0.9981428,0.0018572411,0.0013668285,0.0013668258
-0.302817,-6.7123513,0,0,2.34274,6.2034063,0.9971768,0.0028232252,0.0052781818,0.00527818
