mean_pred_class0,mean_pred_class1,y,y_pred,var_pred_class0,var_pred_class1,pred_prob_class0,pred_prob_class1,pred_prob_std_class0,pred_prob_std_class1
-1.0719326,-5.619835,0,0,1.269566,6.0732555,0.98589593,0.014104092,0.012379748,0.012379749
-0.3124566,-6.6877456,0,0,1.5039992,7.816742,0.9978949,0.0021050635,0.0014381176,0.0014381182
-0.122970045,-6.7091,0,0,1.5219249,8.471313,0.9982761,0.0017239284,0.001271775,0.0012717748
-0.45076954,-6.7441216,0,0,1.4072585,6.7033777,0.9963363,0.0036637702,0.0059974995,0.005997497
-0.37092447,-6.874751,0,0,1.3830849,5.8038774,0.99764675,0.002353373,0.0023594152,0.0023594156
-0.29671174,-7.0151305,0,0,1.1844282,5.9920025,0.9986803,0.001319734,0.00059186283,0.00059185957
-0.53707755,-6.3641815,0,0,1.4543049,7.4692755,0.9959029,0.0040972037,0.0035648989,0.003564896
-0.36983764,-6.3935504,0,0,1.5010035,7.9816117,0.9970663,0.0029336354,0.0020276313,0.0020276292
-1.1558828,-5.294836,0,0,1.3771104,6.370939,0.98075336,0.019246686,0.013823982,0.013823986
-0.64350486,-5.767867,0,0,1.4566426,7.1209974,0.99293095,0.0070689893,0.004338377,0.0043383776
-0.6162214,-4.0698442,0,0,1.3672494,6.69223,0.95471114,0.04528889,0.04381745,0.04381745
-0.36144865,-6.8677983,0,0,1.4697772,7.1069074,0.9981785,0.0018215416,0.0012553668,0.0012553661
-0.4815272,-6.3871512,0,0,1.4556566,7.056187,0.9968,0.0031999366,0.002002729,0.0020027307
-0.49570537,-5.812982,0,0,1.5016592,7.812415,0.9939862,0.0060138293,0.004689662,0.0046896595
-0.5269376,-6.140737,0,0,1.493501,7.669309,0.9954444,0.0045555187,0.0030707864,0.0030707875
-0.22260189,-7.121086,0,0,1.4804555,7.1734877,0.99874264,0.0012573886,0.0010079215,0.0010079211
-0.57586014,-6.2603188,0,0,1.4180274,6.966133,0.99546117,0.0045388592,0.0036307422,0.0036307424
-1.1244142,-4.821348,0,0,1.4107542,6.8012915,0.9725846,0.02741542,0.016552897,0.016552895
-0.31055224,-6.8479853,0,0,1.4689953,7.135475,0.998158,0.001841961,0.0014536505,0.0014536537
-0.43489957,-6.1215334,0,0,1.4541718,7.72968,0.99434495,0.0056550303,0.0064681643,0.006468166
-0.22352147,-6.681967,0,0,1.5017426,7.9037104,0.997805,0.0021949115,0.002255658,0.002255657
-0.31700253,-7.073657,0,0,1.4067378,6.2909718,0.9984937,0.0015063022,0.0011028802,0.0011028757
-0.47747886,-6.4349403,0,0,1.2617347,6.236585,0.9965502,0.0034497671,0.0034442055,0.0034442039
-0.3567351,-6.291115,0,0,1.3511633,6.262823,0.9966689,0.0033310626,0.002200738,0.0022007376
-0.18744147,-6.8809657,0,0,1.5166764,8.16482,0.99832237,0.0016775699,0.0012434165,0.0012434189
-0.32324708,-6.856187,0,0,1.4549961,6.329896,0.9981047,0.0018952478,0.0016461136,0.0016461142
-0.2517779,-7.100963,0,0,1.4890599,7.663378,0.9985222,0.0014777795,0.0017180437,0.001718043
-0.62777007,-5.7763186,0,0,1.4805154,7.5938873,0.9931446,0.006855448,0.0036067853,0.0036067853
-0.37064004,-6.2324185,0,0,1.4594588,7.461411,0.99529344,0.0047065425,0.0060619414,0.006061942
-0.3923067,-6.2077246,0,0,1.4797399,6.5785074,0.9963457,0.003654361,0.0027025237,0.0027025254
-0.36436808,-6.216112,0,0,1.4759655,7.437577,0.99618673,0.0038132821,0.0033337262,0.0033337243
-0.22274667,-7.141678,0,0,1.4528782,6.689751,0.9986966,0.001303429,0.0011747854,0.0011747871
-0.2708087,-6.9490113,0,0,1.4667041,6.902012,0.9982917,0.0017083237,0.0014268339,0.0014268298
-0.2660917,-6.578733,0,0,1.5077935,8.194859,0.9976858,0.0023140714,0.00193028,0.0019302786
-0.17987919,-7.4123654,0,0,1.4463263,6.7778316,0.9991403,0.0008596774,0.00052340905,0.00052341126
-0.46023166,-6.0211306,0,0,1.4350574,6.899214,0.9947957,0.005204476,0.0049898666,0.0049898666
