mean_pred_class0,mean_pred_class1,y,y_pred,var_pred_class0,var_pred_class1,pred_prob_class0,pred_prob_class1,pred_prob_std_class0,pred_prob_std_class1
-1.0836614,-5.615762,0,0,1.2000751,5.9979267,0.9868319,0.01316804,0.008977897,0.0089779
-0.3249619,-6.6037326,0,0,1.484901,7.9543457,0.9975259,0.002474143,0.0017319532,0.0017319523
-0.11462659,-6.69676,0,0,1.5026273,8.501535,0.99812543,0.0018745485,0.0013403373,0.001340335
-0.45246446,-6.7256117,0,0,1.4710631,6.7315874,0.9967136,0.0032864048,0.0037713915,0.0037713926
-0.3628732,-6.8751826,0,0,1.3730464,5.770815,0.99808615,0.0019137609,0.0020514254,0.0020514242
-0.30040097,-7.023088,0,0,1.1659024,5.9994926,0.9986795,0.0013204528,0.0006445646,0.00064456416
-0.52023304,-6.4225593,0,0,1.4693823,7.5258155,0.9957048,0.004295209,0.004274797,0.0042747976
-0.3598386,-6.439762,0,0,1.4892617,8.0565,0.9973196,0.0026804698,0.0019388567,0.0019388582
-1.1748074,-5.293115,0,0,1.3700119,6.306967,0.9817738,0.018226286,0.009574325,0.009574323
-0.6764246,-5.7304187,0,0,1.4343672,7.0973797,0.99277824,0.007221766,0.003995114,0.0039951107
-0.6024618,-4.025863,0,0,1.4159539,6.933859,0.95383376,0.046166256,0.051492196,0.051492196
-0.3592273,-6.8379297,0,0,1.4601679,7.0929065,0.9981273,0.0018726741,0.001309646,0.0013096473
-0.48239338,-6.422356,0,0,1.4470177,7.100116,0.99652326,0.0034767636,0.0029817952,0.0029817969
-0.488317,-5.8591876,0,0,1.4844401,7.871507,0.9947226,0.0052773226,0.0029131805,0.0029131786
-0.51545537,-6.193301,0,0,1.4791002,7.7083597,0.9956789,0.004321083,0.00287367,0.0028736691
-0.21250367,-7.1016846,0,0,1.4701971,7.204781,0.9987922,0.0012078137,0.0007905429,0.00079054193
-0.5750096,-6.28657,0,0,1.4108633,7.0083137,0.9957908,0.0042091664,0.004871172,0.004871171
-1.1395912,-4.763635,0,0,1.3970294,6.8395576,0.9714741,0.028525779,0.01472803,0.014728031
-0.3213812,-6.760328,0,0,1.4537524,7.1710243,0.99797547,0.0020245868,0.0015380323,0.0015380331
-0.4359678,-6.0924597,0,0,1.4805162,7.7679853,0.9949907,0.00500922,0.0045321123,0.004532111
-0.21329522,-6.704653,0,0,1.4889215,7.8057947,0.9977925,0.0022075402,0.0020100086,0.0020100079
-0.31273007,-7.038202,0,0,1.3941844,6.3335333,0.9985322,0.001467928,0.0010682736,0.0010682729
-0.48384237,-6.3735867,0,0,1.2227081,6.3613234,0.9961383,0.0038617076,0.004029998,0.0040299995
-0.3602165,-6.3127675,0,0,1.3958821,6.333417,0.9967431,0.003256868,0.002701374,0.002701374
-0.17815626,-6.8382688,0,0,1.4962277,8.225393,0.9983523,0.0016476809,0.0011708974,0.0011708981
-0.31979847,-6.8465266,0,0,1.460587,6.3187547,0.99803376,0.0019662513,0.0014948054,0.0014948037
-0.25595284,-7.0921,0,0,1.4847505,7.5524144,0.9985225,0.0014774619,0.0012414694,0.001241471
-0.63428867,-5.7834845,0,0,1.4703207,7.60446,0.99322456,0.0067754346,0.00357822,0.0035782228
-0.3720293,-6.252697,0,0,1.4756277,7.5027285,0.9948557,0.00514422,0.0075274594,0.007527461
-0.3833444,-6.2216344,0,0,1.4751904,6.598736,0.99636364,0.0036363974,0.0021248576,0.0021248565
-0.35769022,-6.215485,0,0,1.480604,7.5187426,0.99623203,0.0037679682,0.0028756317,0.0028756335
-0.23472369,-7.083822,0,0,1.4363532,6.77664,0.9985483,0.001451738,0.0013870138,0.0013870129
-0.27744472,-6.844521,0,0,1.4436688,6.9417915,0.9980596,0.0019403803,0.0014508836,0.0014508854
-0.2485317,-6.6157236,0,0,1.4860566,8.226435,0.99813616,0.0018639289,0.0010716972,0.001071696
-0.1826011,-7.381892,0,0,1.4146745,6.9110823,0.9990253,0.0009747326,0.0007817819,0.00078178034
-0.49276698,-5.998662,0,0,1.4146115,6.902298,0.994276,0.005723996,0.0052479035,0.005247905
-1.4033316,-4.5251174,0,0,1.3506172,6.6264534,0.952105,0.047894992,0.022604369,0.022604365
-0.047859073,-6.672646,0,0,1.5029659,8.564575,0.9983302,0.0016699124,0.0011218769,0.0011218764
-0.17571044,-6.8489556,0,0,1.475951,7.507189,0.99819726,0.001802775,0.001862012,0.0018620134
-0.32515085,-6.548315,0,0,1.4839344,7.666898,0.9975264,0.0024735462,0.00170499,0.0017049934
-0.5093249,-6.4021015,0,0,1.4358159,6.8658733,0.9965114,0.0034885854,0.003428847,0.0034288466
-0.24545872,-7.1062603,0,0,1.3651563,6.917019,0.9981756,0.0018244169,0.0026718986,0.0026719011
-0.26606858,-6.8714657,0,0,1.4481835,6.9719734,0.998132,0.0018680656,0.0013714901,0.0013714901
-0.5333146,-6.3100095,0,0,1.3910224,6.4926596,0.99591565,0.0040843775,0.003321839,0.0033218395
-0.30759525,-6.9444633,0,0,1.1557869,5.892727,0.9985419,0.00145805,0.00070927176,0.00070927205
-0.16217917,-6.5162015,0,0,1.4986466,8.395381,0.9977527,0.0022473673,0.0017038347,0.0017038342
-0.27055967,-6.5199304,0,0,1.4874932,7.937149,0.9966286,0.003371456,0.0035566855,0.0035566865
-0.5774573,-5.7392282,0,0,1.4722229,7.719004,0.99387884,0.0061212117,0.0031552378,0.0031552373
0.051242292,-6.949055,0,0,1.5069331,8.982011,0.9988143,0.0011856561,0.0011378757,0.0011378763
-0.5646235,-5.809695,0,0,1.2819185,6.638936,0.99193025,0.008069702,0.008448675,0.0084486725
-0.7407278,-6.270438,0,0,1.404219,6.679348,0.994491,0.0055089947,0.0044806623,0.0044806655
-0.30585897,-6.8036437,0,0,1.3817832,6.3456306,0.9981954,0.0018045597,0.0012185907,0.0012185887
-0.35369813,-6.671823,0,0,1.35426,5.992086,0.9977785,0.0022213438,0.0013689001,0.0013689026
-0.2488113,-6.5503554,0,0,1.4885088,8.082478,0.99746597,0.002534032,0.0022854554,0.0022854577
-0.31154835,-6.2898703,0,0,1.4947029,8.161299,0.99683744,0.0031625412,0.0026357635,0.0026357633
-0.35918796,-6.851966,0,0,1.4442714,7.309476,0.99801093,0.0019890352,0.0017943581,0.0017943599
-0.42327332,-6.039574,0,0,1.4771583,7.867194,0.9954039,0.004596143,0.0046444987,0.0046444996
-0.28877854,-6.864344,0,0,1.4866316,7.836481,0.9983403,0.0016596296,0.0012356407,0.0012356413
-0.48772943,-6.3025117,0,0,1.4016197,6.45831,0.99640965,0.00359035,0.0024034,0.0024034018
-0.13135552,-7.055458,0,0,1.4590536,7.574015,0.9987806,0.0012193607,0.0008685332,0.0008685335
-0.44935834,-6.468055,0,0,1.3087888,6.750986,0.99622524,0.003774747,0.0045518177,0.004551817
-0.30699706,-7.002802,0,0,1.1526283,5.935522,0.99871016,0.0012897339,0.0005261505,0.00052614766
-0.2844094,-6.6669235,0,0,1.2777363,6.43149,0.99811393,0.0018860704,0.00086533476,0.000865332
-0.8191798,-5.7955527,0,0,1.3383904,6.504126,0.98972803,0.010271854,0.0095207635,0.009520764
-0.4137658,-6.3516817,0,0,1.4185635,7.855149,0.9957253,0.004274696,0.0048566377,0.0048566386
-0.2200563,-7.546296,0,0,1.467477,7.3127337,0.99898493,0.0010150512,0.0009875994,0.0009875979
-0.85109377,-4.4442906,0,0,1.4460325,7.032301,0.96535736,0.03464276,0.022588301,0.022588301
-0.19157034,-7.0432453,0,0,1.4927943,8.241068,0.9988605,0.0011395658,0.00067741994,0.0006774184
-0.42276037,-6.3337393,0,0,1.3826888,6.313836,0.99668753,0.0033124299,0.0022238186,0.0022238193
-0.40222287,-5.922839,0,0,1.4696558,7.8493185,0.9953851,0.0046149525,0.003797969,0.0037979672
-0.3021413,-6.405848,0,0,1.4103507,6.5769033,0.9974303,0.0025697057,0.0013231081,0.0013231089
-0.27561283,-6.7513447,0,0,1.4838088,7.194614,0.99740416,0.0025958333,0.003127971,0.0031279696
-0.57447517,-6.069767,0,0,1.2118943,6.272321,0.99434364,0.0056564594,0.005265074,0.0052650757
-0.25787246,-6.0646834,0,0,1.4978037,8.4472065,0.9964913,0.0035087632,0.0023840268,0.0023840242
-0.24778897,-6.8981485,0,0,1.4845841,8.030927,0.9982716,0.0017283616,0.0012355881,0.00123559
-0.43618715,-6.6041236,0,0,1.4384637,6.8710775,0.9975347,0.0024653573,0.001568635,0.0015686367
-0.4454733,-6.189147,0,0,1.4290674,6.7061257,0.9961718,0.0038282275,0.0028512033,0.0028512012
-0.27786607,-6.6978893,0,0,1.4693893,7.6662645,0.99684924,0.0031507162,0.0049246456,0.0049246475
-0.32644093,-6.933974,0,0,1.4505433,7.1553717,0.9984791,0.0015209988,0.0009326084,0.00093260745
-0.07066941,-7.1185784,0,0,1.4951539,8.293154,0.99889356,0.0011063911,0.0007066983,0.00070669886
-0.2652384,-6.669143,0,0,1.4799051,7.7417197,0.9981371,0.0018629201,0.001179346,0.0011793458
-0.43110752,-6.0808954,0,0,1.4771694,7.5651245,0.9959576,0.004042361,0.0030075407,0.003007542
-0.40864456,-5.8889446,0,0,1.4536952,7.1904173,0.9941281,0.0058718687,0.0048941625,0.004894164
-0.71791494,-6.3228064,0,0,1.3927501,6.7685337,0.995355,0.0046450575,0.003400312,0.0034003144
-0.33201253,-6.9185133,0,0,1.4763504,7.56454,0.9970879,0.0029120257,0.0040462282,0.0040462282
-0.22950667,-7.2980833,0,0,1.3142762,6.1196547,0.9988364,0.0011635792,0.0010824426,0.0010824425
-0.11862159,-6.771752,0,0,1.4972278,8.420387,0.9982905,0.0017094977,0.0012464081,0.0012464109
-0.34789968,-6.6136675,0,0,1.3993161,6.8590546,0.99756736,0.002432709,0.0023815846,0.0023815853
-0.20160031,-6.6468773,0,0,1.3289337,8.038519,0.9968187,0.0031813318,0.0043069907,0.00430699
-0.24846053,-6.6073227,0,0,1.4924724,8.037827,0.99781764,0.0021823081,0.0016283375,0.0016283375
