mean_pred_class0,mean_pred_class1,y,y_pred,var_pred_class0,var_pred_class1,pred_prob_class0,pred_prob_class1,pred_prob_std_class0,pred_prob_std_class1
-0.509681,-5.740441,0,0,1.386945,6.938402,0.9809869,0.019013144,0.034172446,0.034172446
-0.47171974,-5.180558,0,0,1.323601,6.3671236,0.9783933,0.021606775,0.03717735,0.037177347
-0.41354084,-6.043568,0,0,1.4090106,7.264159,0.9829557,0.017044289,0.044311557,0.044311557
-0.48396206,-5.9014835,0,0,1.4163282,7.379857,0.9802111,0.019788973,0.04371382,0.04371382
-0.84712195,-4.229737,0,0,1.3666914,6.6752462,0.9234882,0.07651169,0.104083344,0.104083344
-0.5257373,-5.374717,0,0,1.3010433,6.3991375,0.9768105,0.023189588,0.050435167,0.050435167
-0.6669276,-5.3699594,0,0,1.4099042,7.2610316,0.96867436,0.031325627,0.066720136,0.066720136
-0.44315124,-6.139998,0,0,1.3037422,6.2080984,0.990795,0.00920496,0.015334934,0.015334938
-0.057931185,-6.322334,0,0,1.1772606,5.587445,0.99647206,0.0035279335,0.004493618,0.004493618
-0.45524108,-6.0586967,0,0,1.4311535,7.6842146,0.9815562,0.018443756,0.048065193,0.04806519
-0.692281,-4.955546,0,0,1.3627641,6.6435313,0.9585849,0.041415166,0.07788377,0.07788378
-0.9975877,-4.412232,0,0,1.3384349,6.374704,0.93913454,0.060865294,0.09032897,0.09032896
-0.47156692,-5.7493715,0,0,1.3865225,6.8916636,0.9848459,0.015154142,0.032531124,0.03253112
-0.5324409,-6.041143,0,0,1.3336084,6.548633,0.98471147,0.01528845,0.03170026,0.031700257
-0.40763068,-5.9797254,0,0,1.276161,6.084935,0.99136305,0.0086368425,0.015658827,0.015658827
-0.53000486,-5.5394516,0,0,1.4207165,7.444653,0.97196776,0.028032217,0.07104267,0.07104267
-0.15273023,-6.778378,0,0,1.2568576,5.978025,0.9965918,0.0034081647,0.0054087006,0.005408704
-0.70631564,-4.8878756,0,0,1.3980582,7.046166,0.95338005,0.04661993,0.08012815,0.080128156
-0.31122875,-6.215731,0,0,1.3579967,6.6857014,0.98926973,0.010730372,0.026132936,0.026132934
-1.1611936,-3.8004398,0,0,1.3751557,6.663799,0.8805614,0.11943855,0.15392925,0.15392925
-0.5271013,-5.6536045,0,0,1.4319537,7.689685,0.97386074,0.026139285,0.06438826,0.06438826
-0.47057748,-6.0515795,0,0,1.4246361,7.5407267,0.98044306,0.019556832,0.052914947,0.052914947
-0.39546156,-6.050282,0,0,1.367399,6.8260245,0.9883191,0.011680921,0.03480017,0.03480017
-0.5885117,-5.5698867,0,0,1.3844678,6.875317,0.9800431,0.019956838,0.03542998,0.035429977
-0.37711287,-6.6646986,0,0,1.4155366,7.4180675,0.9893076,0.010692411,0.032687467,0.032687467
-0.28037596,-6.9387145,0,0,1.3603446,6.826517,0.9950178,0.004982083,0.01022721,0.01022721
-0.5227026,-5.621495,0,0,1.4225614,7.4846406,0.9771394,0.022860477,0.06872069,0.0687207
-0.4350288,-6.120381,0,0,1.3818142,6.9050345,0.9883909,0.011609095,0.027840836,0.027840836
-0.4777888,-5.950919,0,0,1.4331806,7.7374744,0.97728896,0.022711024,0.057756826,0.057756826
-1.2997797,-3.0470319,0,0,1.3567727,6.422774,0.7884455,0.2115545,0.21022695,0.21022695
-0.9618304,-4.803144,0,0,1.166681,5.556247,0.9655764,0.03442359,0.04093761,0.04093761
-1.0333626,-4.202263,0,0,1.391896,6.888816,0.90588254,0.09411744,0.14463739,0.14463739
-0.59150064,-5.219772,0,0,1.3249567,6.588628,0.9733814,0.026618551,0.04849699,0.04849699
-0.5654774,-5.090693,0,0,1.3910248,6.978497,0.970762,0.02923812,0.046805393,0.04680539
-0.08994508,-6.611753,0,0,1.3148167,6.3320904,0.995908,0.004092076,0.00725577,0.007255772
-0.6787479,-4.477777,0,0,1.3519366,6.5443945,0.94079703,0.059202995,0.08649125,0.08649126
-0.6837709,-5.081227,0,0,1.3561113,6.618766,0.96368265,0.036317337,0.07345848,0.07345848
-0.45069337,-5.590195,0,0,1.3155558,6.224652,0.98305506,0.016944952,0.034639407,0.034639407
-0.6482918,-4.978478,0,0,1.4045975,7.17556,0.9638485,0.036151543,0.06324848,0.06324848
-0.75528073,-4.8496222,0,0,1.2766478,6.0028114,0.96570075,0.034299202,0.04916404,0.049164034
-0.3982618,-5.8540006,0,0,1.3472102,6.5005817,0.9894947,0.010505324,0.01961836,0.019618362
-0.6307471,-5.360684,0,0,1.3665535,6.768466,0.96598434,0.03401559,0.0736387,0.0736387
-0.57520366,-5.2393184,0,0,1.3453281,6.466928,0.97823596,0.021763984,0.037160322,0.037160322
