mean_pred_class0,mean_pred_class1,y,y_pred,var_pred_class0,var_pred_class1,pred_prob_class0,pred_prob_class1,pred_prob_std_class0,pred_prob_std_class1
-1.2098517,-4.9554515,0,0,3.7794666,7.723781,0.9236742,0.07632576,0.1410788,0.1410788
-2.1788034,-3.3692012,0,0,3.6641593,7.2560987,0.7135963,0.28640372,0.26411435,0.26411435
-0.8501612,-5.6203194,0,0,3.9172664,8.209072,0.96584976,0.03415021,0.06340549,0.0634055
-1.0041237,-5.351908,0,0,3.8905315,8.0803585,0.9412266,0.05877337,0.113681644,0.113681644
-0.9553658,-5.427368,0,0,3.9068942,8.155577,0.9415172,0.058482695,0.118784845,0.118784845
-1.0838991,-5.016452,0,0,3.894153,8.0334015,0.9414427,0.058557287,0.12555729,0.12555729
-1.0325302,-5.2319293,0,0,3.8978662,8.105026,0.94245964,0.057540312,0.12185408,0.121854074
-0.89693093,-5.5626373,0,0,3.873917,8.009113,0.9510417,0.048958346,0.110184036,0.110184036
-0.97482944,-5.266331,0,0,3.9203062,8.2212925,0.92444277,0.075557314,0.14445634,0.14445634
-0.9952526,-5.236135,0,0,3.9151545,8.190076,0.9461126,0.05388743,0.102968946,0.102968946
-0.8969766,-5.507446,0,0,3.928842,8.277022,0.9548063,0.04519361,0.10431243,0.10431243
-1.287541,-4.712478,0,0,3.8523364,7.900306,0.8924913,0.1075087,0.17876793,0.17876793
-0.79896283,-5.8110666,0,0,3.9259229,8.259171,0.9654596,0.034540378,0.084399484,0.084399484
-0.9671608,-5.2881994,0,0,3.9138718,8.190566,0.943653,0.05634703,0.10967269,0.10967269
-0.9451492,-5.273973,0,0,3.8899832,8.083921,0.9394438,0.060556166,0.12061451,0.12061451
-1.610004,-3.9343767,0,0,3.8633752,7.9352336,0.80402386,0.19597627,0.2253736,0.2253736
-0.7551458,-5.905916,0,0,3.8948221,8.166187,0.96580267,0.03419732,0.07731376,0.07731376
-0.8323158,-5.7021866,0,0,3.917852,8.210596,0.94397503,0.056024976,0.12318471,0.1231847
-0.97117794,-5.3264785,0,0,3.9226007,8.233368,0.920518,0.07948206,0.16347331,0.16347331
-0.79649806,-5.857379,0,0,3.9266758,8.267584,0.9695556,0.03044437,0.07002787,0.07002788
-1.0242887,-5.1718845,0,0,3.9060545,8.1427765,0.93521595,0.064784154,0.13625628,0.13625628
