mean_pred_class0,mean_pred_class1,y,y_pred,var_pred_class0,var_pred_class1,pred_prob_class0,pred_prob_class1,pred_prob_std_class0,pred_prob_std_class1
-1.2098517,-4.9554515,0,0,3.7794666,7.723781,0.9201913,0.07980877,0.1333521,0.1333521
-2.1788034,-3.3692012,0,0,3.6641593,7.2560987,0.67613065,0.3238694,0.2717455,0.2717455
-0.8501612,-5.6203194,0,0,3.9172664,8.209072,0.94936603,0.050633896,0.11491615,0.11491615
-1.0041237,-5.351908,0,0,3.8905315,8.0803585,0.92980516,0.07019499,0.13849004,0.13849005
-0.9553658,-5.427368,0,0,3.9068942,8.155577,0.95476645,0.045233555,0.09178484,0.09178484
-1.0838991,-5.016452,0,0,3.894153,8.0334015,0.9201565,0.07984354,0.14017656,0.14017656
-1.0325302,-5.2319293,0,0,3.8978662,8.105026,0.9373759,0.06262402,0.12265602,0.12265602
-0.89693093,-5.5626373,0,0,3.873917,8.009113,0.9451596,0.05484038,0.13208035,0.13208035
-0.97482944,-5.266331,0,0,3.9203062,8.2212925,0.95377505,0.04622492,0.09616145,0.09616145
-0.9952526,-5.236135,0,0,3.9151545,8.190076,0.9400069,0.05999309,0.11128028,0.11128028
-0.8969766,-5.507446,0,0,3.928842,8.277022,0.95046955,0.049530298,0.10847331,0.10847331
-1.287541,-4.712478,0,0,3.8523364,7.900306,0.8933366,0.106663465,0.17806846,0.17806846
-0.79896283,-5.8110666,0,0,3.9259229,8.259171,0.96193135,0.038068634,0.091156356,0.09115636
-0.9671608,-5.2881994,0,0,3.9138718,8.190566,0.9359759,0.06402426,0.13235235,0.13235235
-0.9451492,-5.273973,0,0,3.8899832,8.083921,0.936107,0.063892946,0.12679136,0.12679136
-1.610004,-3.9343767,0,0,3.8633752,7.9352336,0.8148988,0.18510123,0.24334338,0.24334338
-0.7551458,-5.905916,0,0,3.8948221,8.166187,0.9708411,0.029158875,0.0692804,0.06928041
-0.8323158,-5.7021866,0,0,3.917852,8.210596,0.9599225,0.040077485,0.08445293,0.08445293
-0.97117794,-5.3264785,0,0,3.9226007,8.233368,0.9393853,0.060614623,0.12758343,0.12758343
-0.79649806,-5.857379,0,0,3.9266758,8.267584,0.96770203,0.03229795,0.074863434,0.074863434
-1.0242887,-5.1718845,0,0,3.9060545,8.1427765,0.91699386,0.08300627,0.14935148,0.14935148
-0.8722395,-5.5841722,0,0,3.9226947,8.237092,0.9490362,0.050963897,0.1118554,0.1118554
-1.2106996,-4.9214473,0,0,3.8966665,8.092769,0.90758485,0.09241518,0.16567579,0.16567579
-0.9096596,-5.43128,0,0,3.9265747,8.256452,0.95258117,0.047418803,0.11312011,0.11312011
-1.1565282,-4.902019,0,0,3.8842368,8.046789,0.9079297,0.09207029,0.15456684,0.15456684
-1.1167569,-5.0001535,0,0,3.8974004,8.109143,0.9141916,0.085808344,0.1582714,0.1582714
-1.0899205,-5.0253057,0,0,3.9079943,8.148012,0.92606914,0.073930815,0.13984802,0.13984801
-1.8217515,-3.8020816,0,0,3.7790527,7.6410108,0.76659185,0.23340817,0.25030687,0.25030687
-0.797534,-5.8581057,0,0,3.9269433,8.269962,0.961292,0.038708005,0.082906075,0.082906075
-0.8529494,-5.6722784,0,0,3.9295793,8.286973,0.95080703,0.049192943,0.10699129,0.10699129
-0.7558416,-5.8947296,0,0,3.8946557,8.163866,0.97177625,0.028223807,0.06499715,0.06499715
-1.1429133,-4.9302154,0,0,3.8792715,8.01667,0.93446803,0.06553197,0.1143218,0.1143218
-0.9599918,-5.411524,0,0,3.7858653,7.785662,0.95614254,0.043857444,0.07934492,0.07934492
-1.0712788,-5.115509,0,0,3.9009995,8.116251,0.92701495,0.07298504,0.14246967,0.14246967
-1.215903,-4.842942,0,0,3.8960552,8.095285,0.9019624,0.09803758,0.16158433,0.16158433
-0.90334785,-5.469525,0,0,3.9141645,8.191065,0.9470444,0.052955605,0.10614915,0.10614915
-0.80780935,-5.752176,0,0,3.8906794,8.106729,0.96237206,0.037627954,0.09378954,0.09378953
-1.3585548,-4.589405,0,0,3.8384323,7.859678,0.8710967,0.12890331,0.1864314,0.1864314
-1.0817237,-5.1454206,0,0,3.9099092,8.157024,0.9315386,0.06846145,0.13018024,0.13018024
-0.8989357,-5.503683,0,0,3.9290123,8.277828,0.9398407,0.06015934,0.13121067,0.13121067
-0.71583736,-6.0292997,0,0,3.9050589,8.182839,0.97625715,0.023742843,0.064387925,0.06438793
-1.0908114,-4.917307,0,0,3.8961954,8.056032,0.9128296,0.08717042,0.15897804,0.15897804
-1.0596421,-5.138759,0,0,3.9230485,8.230633,0.9289852,0.07101481,0.14429833,0.14429833
-1.1139877,-4.9992304,0,0,3.885377,8.057287,0.90857613,0.0914239,0.14832687,0.14832687
-1.1554282,-4.9629593,0,0,3.8482738,7.938695,0.8985917,0.101408325,0.17163038,0.17163038
-4.982172,-0.84281206,1,1,8.897604,2.4301243,0.06385013,0.93614984,0.11557937,0.11557937
-4.5800714,-0.9081507,1,1,9.209708,2.503251,0.07480305,0.925197,0.13977422,0.13977422
-4.801051,-0.85490584,1,1,8.923965,2.442161,0.06642804,0.933572,0.12949345,0.12949345
-4.9671617,-0.7304435,1,1,9.101733,2.4750056,0.06250814,0.9374919,0.12419202,0.12419202
-4.1059847,-1.1730366,1,1,8.996079,2.466208,0.13263762,0.8673624,0.19559695,0.19559695
-4.9871645,-0.7924614,1,1,8.968635,2.4424777,0.05373944,0.94626063,0.11445696,0.11445696
-5.226784,-0.64318156,1,1,8.838152,2.4179611,0.05151163,0.94848835,0.11234805,0.11234804
-4.692417,-0.8374133,1,1,9.064163,2.469458,0.08726197,0.912738,0.15703127,0.15703127
-5.405898,-0.7086444,1,1,7.9370065,2.177257,0.027572596,0.9724273,0.05276519,0.05276519
-4.431224,-0.97555137,1,1,9.21305,2.505005,0.106689714,0.8933103,0.15886821,0.15886821
