mean_pred_class0,mean_pred_class1,y,y_pred,var_pred_class0,var_pred_class1,pred_prob_class0,pred_prob_class1,pred_prob_std_class0,pred_prob_std_class1
-0.37591028,-6.802056,0,0,0.6911403,5.853689,0.9981746,0.001825386,0.0007918391,0.00079183665
-0.37477893,-6.6402044,0,0,0.6914664,6.722442,0.99776363,0.0022364333,0.0011267262,0.0011267271
-0.37468165,-6.378088,0,0,0.6916898,6.9698925,0.99711674,0.0028832492,0.0015230031,0.0015230024
-0.3742771,-6.942912,0,0,0.6914804,6.1794844,0.9983217,0.0016782322,0.0012357292,0.0012357277
-0.3729946,-6.9957905,0,0,0.69124556,5.7494717,0.9985035,0.001496499,0.0005820554,0.0005820602
-0.3737478,-6.7906375,0,0,0.6914603,5.8604107,0.99817973,0.0018203389,0.0008245601,0.0008245593
-0.37435102,-6.8633757,0,0,0.6913842,6.513361,0.9982722,0.0017277739,0.00092511566,0.0009251172
-0.37361965,-6.7511854,0,0,0.69149005,6.7814293,0.9980504,0.0019495956,0.0010381901,0.0010381888
-0.3729868,-7.7232733,0,0,0.69115657,6.0391955,0.9992857,0.00071417587,0.00035155166,0.0003515524
-0.37378284,-6.639933,0,0,0.6912864,6.3710594,0.9979076,0.0020924497,0.00092737505,0.00092737784
-0.3741031,-5.0133567,0,0,0.6913983,6.21029,0.98881465,0.011185416,0.0073416503,0.0073416485
-0.37397546,-6.9689646,0,0,0.69146377,6.3595543,0.9984967,0.0015033055,0.00062697567,0.0006269756
-0.37502155,-6.654274,0,0,0.69138414,6.3136983,0.9979408,0.0020592138,0.0010426289,0.0010426304
-0.3764076,-6.252452,0,0,0.69147736,6.698739,0.9969813,0.0030187063,0.0012954489,0.0012954468
-0.37706625,-5.988246,0,0,0.6914618,6.6498957,0.9958215,0.0041785645,0.0022723705,0.002272369
-0.37358359,-6.9296536,0,0,0.6915184,6.3966374,0.9983802,0.0016198343,0.0007835566,0.0007835574
-0.37353882,-7.1337585,0,0,0.6913038,6.2618833,0.99867743,0.0013225665,0.00072331936,0.0007233198
-0.3740818,-6.83092,0,0,0.6911941,6.229722,0.9982716,0.0017284327,0.0006478118,0.0006478119
-0.37524936,-6.7281675,0,0,0.6914417,6.394188,0.9980815,0.0019184876,0.0008624863,0.0008624866
-0.3739383,-6.5959425,0,0,0.6914703,6.6638007,0.99755806,0.0024418393,0.001875907,0.0018759047
-0.3747089,-6.513444,0,0,0.69161737,6.7202196,0.99703693,0.0029630093,0.0026720264,0.0026720264
-0.37543553,-6.981218,0,0,0.6914117,5.997835,0.9985349,0.001465117,0.0006868851,0.0006868874
-0.37661794,-6.514015,0,0,0.6913714,5.9981704,0.9973342,0.0026658764,0.001657657,0.0016576557
-0.37402755,-6.528179,0,0,0.6913689,5.999789,0.9976962,0.0023037717,0.00095981697,0.00095981994
-0.37537628,-6.6287603,0,0,0.6916389,6.8669777,0.99786794,0.0021320477,0.0011058231,0.0011058222
-0.3741129,-6.969327,0,0,0.69155437,6.0316014,0.9985155,0.0014845136,0.0006103877,0.00061038963
-0.37429923,-6.797362,0,0,0.6915153,6.5896807,0.998036,0.0019638676,0.0013343927,0.0013343899
-0.37477377,-6.4674315,0,0,0.6914022,6.593774,0.99754316,0.0024568387,0.0012385661,0.001238567
-0.37336,-6.451722,0,0,0.69144505,6.584815,0.9967115,0.0032884371,0.0029592155,0.0029592188
-0.37582368,-6.2428493,0,0,0.6915413,6.150072,0.99705577,0.002944225,0.0011949133,0.0011949127
-0.37645748,-6.163583,0,0,0.6915264,6.538858,0.9963611,0.0036390177,0.0020660409,0.0020660383
-0.375085,-6.537656,0,0,0.69142795,6.1814938,0.9976519,0.002348188,0.00122946,0.001229461
-0.37322956,-6.846322,0,0,0.6913968,6.271061,0.99829733,0.0017027446,0.00075420976,0.00075421156
-0.37582514,-6.4676495,0,0,0.6915667,6.87508,0.99726117,0.0027388309,0.0014228836,0.0014228843
-0.37295496,-7.3495283,0,0,0.6913506,6.1999254,0.99900484,0.0009951501,0.00039292642,0.00039292732
-0.37687466,-5.8246574,0,0,0.69147956,6.3065767,0.99517006,0.0048300154,0.002315253,0.0023152516
-0.3739443,-7.2051725,0,0,0.69112235,6.1267867,0.99884254,0.0011575306,0.000417519,0.00041751997
-0.3743728,-6.323444,0,0,0.69173473,7.0233383,0.9968975,0.0031024765,0.002078405,0.002078408
-0.37523314,-6.337446,0,0,0.69149315,6.525735,0.9968765,0.0031236706,0.001793194,0.0017931921
-0.3760069,-6.599205,0,0,0.6915336,6.6122923,0.99782914,0.0021708962,0.0010333934,0.0010333959
-0.375574,-6.4342494,0,0,0.69136155,6.231476,0.99743706,0.0025629038,0.0014609189,0.0014609176
-0.37437052,-7.1085596,0,0,0.6914812,6.137257,0.99869394,0.0013060861,0.00062774273,0.000627741
-0.37337527,-6.7816606,0,0,0.6914097,6.2907276,0.9981679,0.0018321641,0.00082417374,0.0008241737
-0.3742248,-6.7196856,0,0,0.69124776,6.0322423,0.9980996,0.0019003081,0.000831896,0.00083189737
-0.3734782,-6.673297,0,0,0.6914267,5.795789,0.9979608,0.0020393142,0.0008699452,0.0008699434
-0.37500054,-6.192195,0,0,0.69163555,6.919942,0.9965783,0.0034216908,0.0017300075,0.0017300086
-0.3772005,-6.0350056,0,0,0.69157714,6.8272815,0.9958656,0.0041344245,0.002866503,0.0028664994
-0.37476632,-6.607461,0,0,0.69140506,6.6396174,0.9977189,0.0022810828,0.0011949458,0.0011949458
-0.37636274,-5.843011,0,0,0.69204307,7.2800922,0.99475783,0.0052421107,0.0039493954,0.003949399
-0.37284133,-6.8363996,0,0,0.69134194,6.0452027,0.9982115,0.0017885473,0.0010158056,0.0010158053
-0.3748237,-6.9937506,0,0,0.69125277,6.1621695,0.9985359,0.0014641132,0.00081121945,0.000811221
-0.37338445,-6.7752357,0,0,0.6914429,6.0032206,0.99818426,0.0018157263,0.0007301961,0.0007301966
-0.37336797,-6.806649,0,0,0.6914331,5.862542,0.99827445,0.0017254902,0.00067823794,0.0006782382
-0.37515673,-6.5148277,0,0,0.69157773,6.812779,0.99736184,0.0026382364,0.0014992795,0.00149928
-0.3766144,-6.2387896,0,0,0.69158286,6.8327904,0.99682724,0.0031727117,0.001500897,0.0015008973
-0.37356347,-6.969758,0,0,0.6913464,6.428675,0.9984936,0.0015063705,0.00074151054,0.000741511
-0.37640506,-5.980724,0,0,0.6914976,6.6917977,0.9957061,0.0042938734,0.002685986,0.0026859818
-0.37462565,-6.617769,0,0,0.6914936,6.730057,0.99780595,0.0021940845,0.0011386108,0.0011386093
-0.37247747,-7.0988235,0,0,0.6912841,6.0489287,0.99871325,0.001286832,0.00049888785,0.0004988886
-0.3733402,-6.7552423,0,0,0.691604,6.575526,0.99804765,0.0019523533,0.0010458474,0.0010458487
-0.3737931,-6.9313326,0,0,0.69143,6.200485,0.99827236,0.0017276503,0.001351371,0.0013513729
-0.37374297,-6.81195,0,0,0.69146246,5.834015,0.9981748,0.0018252905,0.0008032873,0.0008032877
-0.37480292,-6.3556223,0,0,0.69150794,6.0446796,0.9972376,0.0027624196,0.0010251055,0.0010251049
-0.3738788,-7.0616565,0,0,0.69117576,6.0340843,0.9986049,0.0013951801,0.00082702,0.00082701957
-0.37619975,-6.3893538,0,0,0.6915065,6.684066,0.99696606,0.0030338317,0.002029283,0.0020292806
-0.37386352,-7.4167786,0,0,0.6914719,6.432049,0.9990437,0.0009562214,0.00054220494,0.00054220494
-0.3754645,-5.4771404,0,0,0.6913949,6.4967656,0.9928651,0.0071349656,0.004452119,0.00445212
-0.37376553,-6.9410415,0,0,0.6915686,6.886939,0.99831784,0.0016820951,0.0010443241,0.001044325
-0.37275577,-7.0268917,0,0,0.69127727,5.9839754,0.99860483,0.0013951552,0.0006295909,0.0006295942
-0.37736553,-5.539508,0,0,0.69154197,6.7022505,0.9937555,0.0062446143,0.0030734804,0.0030734777
-0.3737868,-6.611751,0,0,0.6914935,6.110255,0.997927,0.0020729578,0.00073119655,0.00073119806
-0.37462348,-6.7323856,0,0,0.6915615,6.3874164,0.99789983,0.0021001631,0.0016584726,0.0016584721
-0.3761686,-6.5500364,0,0,0.69134057,5.97285,0.99739856,0.002601494,0.001569021,0.001569021
-0.37648004,-6.027884,0,0,0.69161755,6.982174,0.99610525,0.0038946914,0.0021852695,0.0021852707
-0.37488675,-6.780013,0,0,0.69146883,6.7414417,0.9982477,0.0017522405,0.00078015047,0.0007801516
-0.37551445,-6.767278,0,0,0.6913926,6.222565,0.9981787,0.0018212431,0.00086373393,0.00086373446
-0.37698013,-6.1953406,0,0,0.6914804,6.174926,0.99652225,0.0034776924,0.0020327517,0.0020327498
