mean_pred_class0,mean_pred_class1,y,y_pred,var_pred_class0,var_pred_class1,pred_prob_class0,pred_prob_class1,pred_prob_std_class0,pred_prob_std_class1
-0.5110761,-5.7576036,0,0,3.1135454,7.3532314,0.99318653,0.0068135373,0.006326647,0.0063266475
-1.0715772,-3.7626815,0,0,1.9180677,5.7334146,0.9327082,0.067291744,0.035241533,0.035241533
-0.54155624,-6.010695,0,0,2.9631505,7.0675488,0.99499595,0.005004146,0.0041829473,0.0041829473
-0.3913784,-6.992125,0,0,2.6806738,6.573328,0.9979103,0.0020896469,0.0022230314,0.0022230307
-0.373281,-6.928909,0,0,2.6798794,6.5288286,0.9979097,0.0020902276,0.0022363802,0.0022363795
-0.30859476,-6.822252,0,0,3.319393,7.950167,0.99795747,0.0020424994,0.0015878427,0.0015878426
-0.597581,-5.994966,0,0,2.0214942,5.9097204,0.99408346,0.005916442,0.0043558027,0.004355804
-0.30786985,-7.2666316,0,0,3.3328028,8.024668,0.99880594,0.0011941886,0.0009906832,0.0009906838
-0.3318619,-6.316837,0,0,3.4124522,8.620393,0.9969587,0.0030413817,0.0018653972,0.0018653981
-0.38507092,-6.626888,0,0,1.873045,5.70232,0.997697,0.0023030802,0.0017665672,0.0017665679
-0.7636601,-5.241051,0,0,2.5405698,6.4686985,0.98622394,0.013776048,0.00998682,0.0099868225
-0.4016917,-6.2161384,0,0,3.3661318,8.17483,0.9961585,0.0038414928,0.002280841,0.0022808434
-0.33048454,-6.8355594,0,0,3.3967268,8.44808,0.9981972,0.0018028191,0.0011616519,0.0011616528
-0.37437117,-6.989964,0,0,2.9830878,6.9597483,0.997739,0.0022609788,0.0028876914,0.0028876923
-0.35700524,-6.9957247,0,0,2.5956457,6.5066667,0.99838346,0.0016165223,0.0012436289,0.0012436296
-0.73008263,-4.574126,0,0,2.5350652,6.444543,0.97310746,0.02689255,0.021811377,0.021811374
-0.7456931,-4.396493,0,0,2.6197016,6.5478754,0.96833587,0.031664137,0.028881444,0.028881438
-0.52971065,-6.0925126,0,0,2.787362,6.8286824,0.9948706,0.005129398,0.0036365676,0.0036365683
-0.60907376,-5.6204696,0,0,2.7068615,6.6392417,0.99173903,0.008260945,0.005884425,0.0058844266
-0.32297933,-6.4524937,0,0,3.398849,8.610347,0.99782515,0.0021749472,0.0005205712,0.0005205729
