mean_pred_class0,mean_pred_class1,y,y_pred,var_pred_class0,var_pred_class1,pred_prob_class0,pred_prob_class1,pred_prob_std_class0,pred_prob_std_class1
-0.95664096,-4.4690104,0,0,1.5219412,6.473669,0.96348953,0.036510497,0.026324542,0.02632454
-0.57185745,-5.9798126,0,0,1.6664264,6.995057,0.9948111,0.0051888074,0.0041147354,0.0041147345
-0.34466648,-7.0230656,0,0,1.2359595,5.8503304,0.9987108,0.0012892433,0.00062814757,0.0006281494
-0.40282822,-6.857934,0,0,1.2664897,5.663898,0.9982794,0.0017205909,0.00101686,0.0010168568
-0.20414376,-6.9578094,0,0,1.5986491,6.8484344,0.9982865,0.0017134674,0.0015374133,0.0015374143
-0.68159366,-5.5915403,0,0,1.6271131,7.009018,0.991671,0.008329025,0.005069695,0.0050696936
-0.24400866,-7.2141237,0,0,1.3273585,5.907385,0.99865043,0.0013495499,0.0014235179,0.001423519
-0.81833863,-5.646759,0,0,1.5818961,6.826218,0.98968744,0.01031249,0.0077918787,0.007791878
-0.5014465,-4.5998297,0,0,1.6709609,7.4047747,0.980472,0.019527927,0.019037263,0.019037263
-0.3079146,-7.4240017,0,0,1.426429,5.821664,0.9989455,0.0010545191,0.0007928386,0.00079283584
-0.2693529,-7.2259054,0,0,1.7045718,6.9588532,0.9986734,0.00132656,0.0011787895,0.0011787852
-0.757406,-5.1984434,0,0,1.6448268,7.123109,0.9855687,0.014431255,0.01026512,0.010265123
-0.8181083,-5.811604,0,0,1.5080934,6.5173335,0.98895967,0.011040236,0.013197417,0.013197417
-0.30793047,-6.966362,0,0,1.5729264,6.5218906,0.9979583,0.0020416437,0.0024724724,0.0024724735
-0.35167515,-6.617568,0,0,1.6804581,7.157347,0.9973128,0.0026873173,0.0020802226,0.0020802217
-0.41832316,-6.8069754,0,0,1.5962864,6.773881,0.99784577,0.0021542578,0.0015775103,0.0015775086
-0.79237175,-4.6441345,0,0,1.5356511,6.634042,0.9756078,0.024392225,0.020071147,0.020071147
-0.112933874,-7.004793,0,0,1.7057097,7.25959,0.99879646,0.0012035007,0.00087070017,0.0008706978
-0.23649144,-7.2129755,0,0,1.6576356,7.043748,0.99869746,0.001302546,0.0013267034,0.0013267077
-0.38196826,-6.6910133,0,0,1.5882301,6.846343,0.9977961,0.0022037881,0.0014704101,0.0014704084
-0.2056092,-6.943331,0,0,1.674864,6.9820557,0.998203,0.0017970366,0.001723223,0.0017232284
-0.26255178,-7.2379932,0,0,1.4521412,6.11833,0.9986462,0.0013538117,0.001330879,0.0013308774
-0.69529176,-5.2725954,0,0,1.638878,7.146821,0.9884227,0.011577323,0.006038931,0.006038932
-0.42048597,-6.5134687,0,0,1.493901,6.3133144,0.99619347,0.003806526,0.0043028644,0.004302863
-0.23963213,-7.2000303,0,0,1.4738468,6.261654,0.99879336,0.0012065513,0.0011524757,0.0011524766
-0.13889694,-7.181574,0,0,1.6357341,7.1481714,0.998974,0.001025968,0.000672221,0.0006722246
-0.4546517,-5.9315395,0,0,1.6496627,7.1269903,0.99496865,0.00503136,0.0032251482,0.0032251473
-0.31557858,-7.137287,0,0,1.4007332,5.939707,0.99865466,0.0013452623,0.0009742283,0.0009742276
-0.29570544,-7.161235,0,0,1.377116,5.983629,0.9985705,0.0014294507,0.0012040278,0.0012040267
-0.29708326,-6.7316856,0,0,1.4959505,6.3111467,0.9981139,0.0018861092,0.0014406617,0.0014406625
-0.2370069,-7.417863,0,0,1.6171802,6.7619905,0.9989023,0.0010977166,0.0010905659,0.0010905623
-0.47555256,-6.1480393,0,0,1.664147,7.075681,0.9955926,0.0044075,0.0029027103,0.0029027099
-0.40434015,-6.970117,0,0,1.2580554,5.647019,0.9982253,0.0017747821,0.0011367458,0.001136744
-0.41389835,-6.4844074,0,0,1.2210124,5.748123,0.99748206,0.0025180003,0.0012066815,0.001206682
-0.24647057,-6.8000965,0,0,1.5815233,6.464689,0.99767333,0.0023266748,0.0027300941,0.002730095
-0.25670886,-6.82119,0,0,1.7141998,6.8477383,0.99742234,0.002577677,0.003706228,0.0037062324
-0.3472314,-6.68482,0,0,1.3277452,5.817478,0.9980066,0.0019933558,0.0013556618,0.001355661
-0.30513525,-6.3453465,0,0,1.7056756,7.269616,0.9959773,0.0040227356,0.0042893533,0.0042893537
-0.5317433,-6.115963,0,0,1.6486936,6.9407496,0.9945108,0.0054891068,0.005652656,0.005652658
-0.36048913,-6.9156237,0,0,1.4319932,6.090864,0.9980038,0.0019962576,0.0017315818,0.0017315832
-0.40516222,-6.4936137,0,0,1.3339304,5.5596514,0.9972362,0.0027638664,0.0018548268,0.0018548283
-0.2650634,-7.0379457,0,0,1.5384812,6.517912,0.9983352,0.0016647216,0.0014679703,0.0014679708
-0.12819028,-6.8436356,0,0,1.7463653,7.093142,0.9980207,0.001979352,0.002342575,0.0023425769
-0.5029805,-6.314847,0,0,1.5721104,6.5513067,0.9959997,0.0040003364,0.0035137325,0.0035137327
-0.69777083,-5.928719,0,0,1.7009522,7.29317,0.99431133,0.005688823,0.0034620983,0.003462097
-0.37450242,-6.5166197,0,0,1.6972792,7.3214636,0.99724823,0.0027517232,0.002261246,0.0022612456
-0.2009486,-6.9835024,0,0,1.5707724,6.532417,0.99841917,0.0015809325,0.0013755922,0.0013755949
-0.93967843,-3.9679422,0,0,1.2523639,5.7346296,0.95152265,0.04847746,0.015439824,0.015439824
-0.37704158,-6.5066805,0,0,1.6267718,6.6963024,0.99670005,0.0032999327,0.0044782613,0.0044782623
-0.035076737,-7.1698937,0,0,1.7900906,7.9101295,0.99902177,0.0009783014,0.0006707405,0.0006707389
-0.34211564,-6.3344584,0,0,1.6856122,7.0444336,0.99662,0.0033799831,0.003578234,0.0035782317
-0.63744116,-5.990616,0,0,1.53573,6.4613914,0.99350214,0.006497796,0.006666478,0.0066664782
-0.42846394,-6.239192,0,0,1.6444955,7.0644693,0.9955921,0.004407819,0.005752842,0.00575284
-0.33260918,-6.939159,0,0,1.4004179,5.7507477,0.99796724,0.0020327626,0.0023186954,0.0023186964
-0.46942282,-6.619897,0,0,1.5133225,6.3218594,0.9974089,0.0025910996,0.0022657102,0.0022657083
-2.3605044,-2.0498254,0,1,1.2756832,5.854836,0.4281889,0.5718111,0.088020705,0.088020705
-0.7357671,-6.032855,0,0,1.4643604,6.161083,0.9922051,0.0077949613,0.00741594,0.0074159377
-0.15675163,-6.9084206,0,0,1.7350827,7.4304237,0.99857754,0.0014224622,0.0010396102,0.0010396107
-0.3437239,-6.848736,0,0,1.5106337,6.241435,0.99683535,0.003164742,0.00506351,0.005063514
-0.25139475,-6.7263374,0,0,1.5458573,6.412715,0.9982345,0.0017655204,0.0010515305,0.0010515319
-0.3946725,-6.2338934,0,0,1.6124101,6.793356,0.996343,0.0036567918,0.0028477088,0.002847709
-0.36142135,-7.0712185,0,0,1.6403327,6.8906803,0.99814457,0.0018554282,0.0016553096,0.0016553121
-0.32280016,-7.034151,0,0,1.2460634,5.583207,0.9985117,0.0014883734,0.0011129488,0.0011129496
-0.6886971,-5.6549206,0,0,1.5202229,6.387088,0.9907596,0.009240439,0.0076171733,0.007617174
-0.16137433,-7.1972337,0,0,1.4545724,6.3997536,0.9990644,0.0009356807,0.0004590255,0.00045902302
-0.71113896,-4.5402317,0,0,1.6390595,6.9776692,0.97428125,0.025718711,0.014914883,0.014914883
-0.9285641,-3.429369,0,0,1.5486084,6.3861628,0.90843767,0.09156233,0.072642475,0.072642475
-0.33004856,-6.943034,0,0,1.5302333,6.350366,0.9977964,0.002203565,0.0025976743,0.0025976773
-0.46330786,-6.1381445,0,0,1.6164554,6.9437237,0.995406,0.0045940597,0.0032100643,0.0032100657
-0.6305678,-5.511057,0,0,1.5223647,6.4743466,0.9902608,0.0097392425,0.007576216,0.007576216
-0.6216891,-5.2505007,0,0,1.6931244,7.3782706,0.98759556,0.012404479,0.008992944,0.008992944
-0.95496297,-5.3557935,0,0,1.624898,6.8570223,0.9863421,0.013657941,0.007339243,0.007339244
-0.061061382,-7.6414986,0,0,1.7299618,6.969488,0.9992571,0.00074298755,0.0006749629,0.0006749629
-0.41692138,-6.6066055,0,0,1.7173609,7.2916174,0.99646753,0.0035325615,0.0049017663,0.0049017644
-0.36419702,-6.929149,0,0,1.3391687,5.7559576,0.99790746,0.0020925617,0.002142119,0.0021421195
-0.27430797,-7.2322702,0,0,1.3684078,5.9557495,0.99875295,0.0012470615,0.0010870822,0.0010870793
-0.22042704,-6.5517745,0,0,1.7052704,7.4059567,0.9975978,0.0024021172,0.0022472034,0.0022472022
-0.3142432,-7.1764755,0,0,1.2752613,5.755023,0.998695,0.001304991,0.0010666857,0.0010666872
-0.52504206,-6.68946,0,0,1.6178299,6.7486076,0.9975285,0.0024715394,0.0017194962,0.0017194991
-0.8122363,-5.553724,0,0,1.585681,6.398523,0.98731464,0.012685325,0.01227987,0.012279869
-0.36637437,-6.5939827,0,0,1.629571,6.973751,0.99722457,0.0027754528,0.0026369938,0.0026369903
-0.37356162,-6.9146366,0,0,1.2531644,5.7087564,0.99819744,0.001802615,0.0014281477,0.0014281484
-0.30826437,-7.0830135,0,0,1.5343297,6.246526,0.99842,0.001579895,0.0018160682,0.00181607
-0.29952598,-6.819703,0,0,1.6794469,7.3119926,0.99820465,0.0017953796,0.0012946792,0.0012946771
-0.14768267,-6.8460054,0,0,1.7712164,7.6179695,0.9982859,0.001714115,0.0015754778,0.0015754778
-0.29822206,-6.6681423,0,0,1.5912966,6.78636,0.9976416,0.002358458,0.0020841006,0.0020840992
-0.48825788,-5.986744,0,0,1.6418437,7.099449,0.9942717,0.0057283053,0.0057476936,0.0057476927
-0.36844027,-6.6641955,0,0,1.3565261,5.906934,0.9968741,0.0031258673,0.0042550904,0.0042550857
-0.2718892,-6.7848577,0,0,1.6212595,6.88259,0.99815047,0.0018495163,0.0013740953,0.0013740974
-0.6061795,-6.0256186,0,0,1.6688496,7.2363605,0.99515164,0.004848268,0.0027885514,0.00278855
-0.24699903,-7.33004,0,0,1.3638391,5.967997,0.99897134,0.0010287544,0.0007145704,0.0007145712
-1.4334364,-2.7425852,0,0,1.2413921,5.71107,0.7692111,0.23078886,0.081839904,0.081839904
-0.5621846,-6.332363,0,0,1.5671252,6.6227875,0.9955744,0.0044255108,0.005287133,0.0052871355
