mean_pred_class0,mean_pred_class1,y,y_pred,var_pred_class0,var_pred_class1,pred_prob_class0,pred_prob_class1,pred_prob_std_class0,pred_prob_std_class1
-0.7399967,-4.804055,0,0,1.4303296,7.4459333,0.94598335,0.054016612,0.10360178,0.10360178
-0.5109806,-5.5935936,0,0,1.2797024,6.5181093,0.9875579,0.012442062,0.022804435,0.022804439
-0.5475867,-5.573225,0,0,1.4361374,7.5472717,0.96835876,0.031641204,0.07723597,0.07723597
-0.6309712,-5.182128,0,0,1.3727562,6.898049,0.96821594,0.03178406,0.059208736,0.059208732
-0.7022214,-5.0764985,0,0,1.3846886,6.970238,0.9560553,0.043944698,0.09516565,0.09516565
-0.7186246,-4.2966766,0,0,1.3457406,6.480066,0.9308851,0.06911489,0.10619701,0.10619701
-0.49576974,-5.7844076,0,0,1.4157288,7.288269,0.98151404,0.01848596,0.043692783,0.043692783
-0.5570824,-5.521077,0,0,1.4275591,7.43123,0.9758237,0.024176318,0.05652548,0.05652548
-0.75925136,-4.2558174,0,0,1.3553908,6.6163073,0.927409,0.07259106,0.12086381,0.12086381
-0.54723597,-5.5302105,0,0,1.291404,6.5990143,0.98401904,0.015981046,0.030305758,0.03030576
-0.5494232,-5.6105356,0,0,1.4033425,7.1316557,0.9777956,0.022204446,0.051645875,0.05164588
-0.45295787,-5.7922363,0,0,1.4036973,7.1497974,0.98338133,0.016618567,0.046963643,0.046963643
-0.5755434,-5.536229,0,0,1.4331887,7.510848,0.96638507,0.0336149,0.07812978,0.07812978
-0.54078174,-5.466327,0,0,1.4250376,7.3955054,0.9695309,0.030469127,0.0701857,0.070185706
-0.53835917,-5.6067085,0,0,1.4269516,7.431348,0.97655314,0.023446774,0.057103068,0.05710307
-0.51908803,-5.699789,0,0,1.4302781,7.4659734,0.9773779,0.022622075,0.044461697,0.044461694
-0.64295506,-5.180069,0,0,1.3812106,7.0160694,0.96449125,0.035508685,0.06206625,0.06206625
-0.47634387,-5.738927,0,0,1.4113705,7.2444124,0.9799176,0.020082355,0.0385717,0.0385717
-0.6068034,-5.4804525,0,0,1.4211771,7.3494277,0.9745904,0.025409551,0.05304629,0.05304629
-0.46952486,-5.719372,0,0,1.3600199,6.949459,0.9849293,0.0150706265,0.035826184,0.03582618
-0.6136668,-5.296893,0,0,1.4237998,7.3744493,0.9646574,0.03534267,0.08180754,0.08180753
-0.4626937,-5.8319836,0,0,1.4301713,7.465541,0.9829851,0.017014956,0.040152717,0.040152717
-0.48396802,-5.735162,0,0,1.4326823,7.4992104,0.9781782,0.02182177,0.06511776,0.06511776
