mean_pred_class0,mean_pred_class1,y,y_pred,var_pred_class0,var_pred_class1,pred_prob_class0,pred_prob_class1,pred_prob_std_class0,pred_prob_std_class1
-0.3659916,-5.53485,0,0,0.70082664,6.0139227,0.9933635,0.006636543,0.003924022,0.003924022
-0.4867016,-6.0575056,0,0,0.70540607,6.485442,0.9950301,0.0049699256,0.0032559314,0.003255928
-0.39910105,-6.9362955,0,0,0.7031305,5.6278257,0.99846184,0.001538082,0.00043569194,0.0004356916
-0.3134437,-6.8411684,0,0,0.6980841,5.4922285,0.99847335,0.0015267436,0.00050898636,0.00050898985
-0.37572283,-6.866436,0,0,0.70495874,6.2995214,0.99814004,0.0018599893,0.0013585701,0.001358569
-0.37190032,-6.826704,0,0,0.70300794,6.400546,0.9982245,0.0017755496,0.00084430753,0.0008443076
-0.3348504,-6.9521637,0,0,0.6987767,5.5616083,0.99849546,0.0015045685,0.00074488705,0.00074488734
-0.40924102,-6.8417664,0,0,0.7018195,6.2491283,0.9981725,0.0018275622,0.00090003625,0.000900032
-0.41387507,-4.8832245,0,0,0.70537746,6.6458716,0.9847622,0.015237873,0.013640328,0.013640326
-0.3302784,-7.245782,0,0,0.70030344,5.631077,0.9988507,0.0011492717,0.0005819531,0.0005819513
-0.44123483,-6.9942884,0,0,0.7055505,6.3506866,0.99840724,0.0015927746,0.0008244562,0.00082445424
-0.4788182,-5.5454173,0,0,0.70383906,6.433437,0.9931528,0.006847185,0.0027944657,0.002794465
-0.3860717,-6.5758185,0,0,0.70159674,5.9453163,0.9975501,0.0024499404,0.0015588447,0.0015588467
-0.343746,-6.822068,0,0,0.7028714,6.036494,0.997911,0.0020890338,0.0014828148,0.0014828149
-0.39594042,-6.5493174,0,0,0.7042197,6.4242177,0.9976492,0.00235076,0.0013796107,0.0013796102
-0.4311588,-6.402697,0,0,0.7025754,6.243746,0.9968489,0.0031511378,0.0020886096,0.0020886082
-0.48916376,-4.840257,0,0,0.70264006,6.163992,0.9845289,0.015471067,0.011238966,0.01123897
-0.39407992,-6.560098,0,0,0.7048909,6.5095997,0.99759257,0.002407506,0.0014691635,0.0014691645
-0.4129017,-6.627818,0,0,0.70414156,6.376579,0.9977309,0.0022690645,0.0014866932,0.0014866923
-0.3471578,-7.1723013,0,0,0.7025993,6.2676816,0.99879634,0.0012036909,0.00052445405,0.00052445335
-0.38399896,-6.8797855,0,0,0.70548785,6.2733583,0.99813855,0.0018614789,0.0011894422,0.0011894446
-0.38152033,-6.9199357,0,0,0.7015895,5.7352524,0.9984367,0.0015632508,0.0007204113,0.0007204062
-0.3783056,-6.296377,0,0,0.7034331,6.481595,0.9969469,0.003053187,0.0013134887,0.001313491
-0.42703062,-6.6522746,0,0,0.7005581,5.778018,0.9978076,0.0021923732,0.0011693761,0.0011693772
-0.34200957,-6.9702177,0,0,0.70191336,5.9116187,0.9984054,0.0015945944,0.00094841997,0.0009484199
-0.36716664,-6.7953663,0,0,0.70379,6.359095,0.99822503,0.0017749743,0.0008465089,0.00084650604
-0.4020834,-6.8451185,0,0,0.70360416,6.465341,0.99833745,0.0016626122,0.00060192804,0.00060192705
-0.300119,-7.015011,0,0,0.6999788,5.672888,0.9985319,0.0014680445,0.00079386716,0.0007938675
-0.3307193,-7.1370373,0,0,0.7007436,5.679567,0.99881154,0.0011885342,0.0004814104,0.00048141187
-0.3641808,-6.771146,0,0,0.7003912,5.8963175,0.99824107,0.0017590201,0.0007086586,0.0007086598
-0.37434256,-6.988946,0,0,0.70306647,6.192602,0.99841684,0.001583161,0.0010290268,0.0010290275
-0.40743285,-6.451909,0,0,0.70390743,6.395934,0.99721014,0.002789908,0.0013545668,0.0013545676
-0.3539561,-6.975912,0,0,0.6981499,5.465147,0.9985564,0.0014436776,0.0006302151,0.00063021557
-0.40809667,-6.662092,0,0,0.7011241,5.554121,0.9979283,0.0020716712,0.0008297977,0.00082979666
-0.3851748,-6.7716465,0,0,0.70287603,5.982165,0.99808097,0.0019190176,0.001079817,0.0010798151
-0.4213928,-6.6396065,0,0,0.7070053,6.2548428,0.997469,0.0025309501,0.0019557395,0.0019557409
-0.2858094,-7.0255823,0,0,0.69828475,5.578433,0.998717,0.0012829934,0.00047944207,0.00047944556
-0.44935405,-6.376346,0,0,0.70653015,6.4673643,0.99699247,0.0030074285,0.0019312103,0.0019312111
-0.46124476,-6.5075336,0,0,0.7043625,6.281843,0.99706507,0.0029348761,0.0020113348,0.0020113366
-0.34059644,-6.9260316,0,0,0.6997981,5.7168217,0.9984363,0.0015636948,0.000707674,0.00070767786
-0.3662511,-6.6815166,0,0,0.6993572,5.4705763,0.99805313,0.0019469049,0.00074788305,0.00074787927
-0.3031158,-6.9456167,0,0,0.7018377,6.0163174,0.99843884,0.0015610928,0.0011227946,0.0011227961
-0.4118893,-6.518349,0,0,0.7076366,6.405676,0.9972614,0.0027384877,0.001975926,0.0019759282
-0.3897444,-7.005659,0,0,0.70176405,6.03113,0.9983518,0.0016480547,0.0009885794,0.0009885806
-0.5347305,-5.340064,0,0,0.70619726,6.6074185,0.99036074,0.009639274,0.0052238954,0.0052238973
-0.43414024,-6.479602,0,0,0.70510453,6.5495443,0.99743384,0.0025660982,0.0013218786,0.001321879
-0.34937352,-6.8091836,0,0,0.702249,6.0340486,0.9982558,0.0017442367,0.0010029788,0.0010029793
-0.48186898,-4.386183,0,0,0.7033431,5.671208,0.97932327,0.020676749,0.008338347,0.008338349
-0.36180905,-6.6972713,0,0,0.7040549,6.1608477,0.9978723,0.002127722,0.0015862088,0.0015862102
-0.46337718,-6.113939,0,0,0.70999956,7.000103,0.995893,0.0041070054,0.0029128233,0.0029128243
-0.4661778,-6.0085907,0,0,0.7056888,6.3460727,0.9950765,0.004923492,0.0039023557,0.003902358
