mean_pred_class0,mean_pred_class1,y,y_pred,var_pred_class0,var_pred_class1,pred_prob_class0,pred_prob_class1,pred_prob_std_class0,pred_prob_std_class1
-0.50967693,-5.740435,0,0,1.386945,6.9384017,0.9797602,0.020239826,0.046074226,0.046074226
-0.47171903,-5.180556,0,0,1.3236015,6.367126,0.97626233,0.023737652,0.04235826,0.042358257
-0.41354108,-6.043571,0,0,1.4090106,7.2641563,0.9855563,0.014443726,0.027818248,0.02781825
-0.48396504,-5.901485,0,0,1.4163282,7.3798566,0.9739952,0.02600471,0.061135307,0.06113531
-0.8471153,-4.2297254,0,0,1.3666914,6.6752467,0.92520547,0.074794546,0.104028806,0.1040288
-0.52574086,-5.3747106,0,0,1.3010437,6.3991385,0.98110455,0.018895458,0.038221996,0.038221993
-0.6669228,-5.3699594,0,0,1.4099042,7.261032,0.95525897,0.044740967,0.10654589,0.10654588
-0.44314456,-6.139996,0,0,1.3037422,6.208099,0.9906138,0.009386191,0.02513901,0.025139013
-0.057929754,-6.322331,0,0,1.1772592,5.587442,0.9964203,0.0035797139,0.0059798486,0.0059798514
-0.45524073,-6.0586987,0,0,1.4311535,7.6842146,0.9793414,0.02065865,0.056524698,0.056524698
-0.6922791,-4.9555383,0,0,1.3627656,6.6435323,0.9586725,0.0413274,0.0764245,0.0764245
-0.997586,-4.412231,0,0,1.3384354,6.374707,0.9273392,0.07266075,0.10496213,0.10496214
-0.4715624,-5.7493773,0,0,1.3865225,6.8916626,0.98036844,0.019631537,0.04262547,0.04262547
-0.53243375,-6.04114,0,0,1.3336084,6.548632,0.98978794,0.010212084,0.016943075,0.016943075
-0.4076259,-5.979731,0,0,1.27616,6.0849323,0.9910172,0.008982775,0.0140491575,0.014049158
-0.5300031,-5.5394516,0,0,1.4207165,7.4446526,0.9732053,0.026794676,0.06013359,0.06013359
-0.1527226,-6.778375,0,0,1.2568576,5.9780235,0.9966801,0.0033200253,0.0060144574,0.006014458
-0.7063167,-4.8878727,0,0,1.3980587,7.046167,0.9557193,0.0442807,0.07739312,0.07739312
-0.31122518,-6.21573,0,0,1.3579953,6.6857004,0.98746556,0.012534462,0.036285937,0.036285937
-1.1611903,-3.8004417,0,0,1.3751557,6.6637974,0.8834586,0.116541475,0.14765342,0.14765342
-0.5271013,-5.653605,0,0,1.4319537,7.689685,0.9753866,0.024613464,0.05545452,0.05545452
-0.47057652,-6.0515804,0,0,1.4246361,7.5407257,0.9795115,0.020488521,0.056693364,0.05669336
-0.3954606,-6.0502734,0,0,1.367399,6.8260255,0.9898087,0.0101913605,0.019640096,0.019640094
-0.5885081,-5.5698886,0,0,1.3844664,6.8753157,0.9754889,0.024511008,0.049577177,0.049577177
-0.37711143,-6.6646967,0,0,1.4155366,7.4180684,0.98979473,0.010205307,0.03095274,0.03095274
-0.2803738,-6.9387116,0,0,1.3603446,6.826518,0.99506557,0.0049344944,0.010349805,0.010349806
-0.5227016,-5.621498,0,0,1.4225619,7.4846406,0.97512615,0.024873797,0.045945812,0.045945812
-0.43502712,-6.120377,0,0,1.3818142,6.905035,0.987258,0.012741896,0.027699053,0.027699059
-0.4777888,-5.9509196,0,0,1.4331806,7.7374744,0.9799724,0.020027526,0.05722983,0.05722983
-1.2997758,-3.047027,0,0,1.3567727,6.422775,0.7777587,0.22224128,0.21099856,0.21099856
-0.9618194,-4.8031354,0,0,1.1666815,5.5562453,0.9694978,0.030502254,0.03741346,0.03741346
-1.0333607,-4.202267,0,0,1.3918965,6.8888144,0.9025637,0.09743637,0.12989917,0.12989919
-0.5915005,-5.2197614,0,0,1.3249567,6.588627,0.9689867,0.03101322,0.059452727,0.059452727
-0.5654743,-5.0906944,0,0,1.3910263,6.978499,0.96464115,0.03535885,0.08104665,0.08104665
-0.08994269,-6.6117444,0,0,1.3148167,6.33209,0.99623007,0.0037699344,0.007983775,0.007983775
